text,category
9. Write what you might have done.,2
25. Construct a market strategy for your product using a known strategy as a model.,2
100. How Do You Think One Should Reason in Making Ethical Decisions in Business,5
65. Organize this book into three or more sections and give your own subtitle for each section.,4
"33. If notes are available on the professor's website, how should those notes be used?",2
44. Relate topographic map to field features,2
9. Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater.,2
10. Write an explanation about this topic for others,2
75. Summarize Jem's beliefs about Boo Radley,1
31. Design a new animal to live in the jungle.,4
43. Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons  for why one candidates position is more likely to be effective than the other's.,5
"97. In your own words, how would you summarize the story up",1
99. Outline the aim of two studies within the,1
52. Can you solve the following problem,2
11. Justify the object oriented programming concept,5
"88. How effectively did students analyze course content on race, class, and privilege through autobiographical reflection",3
81. Why don't you devise your own way to deal with . . .?,4
"49. If interest were compounded monthly instead of daily, what would the difference in interest be?",3
26. Contrast building in the coastal zone with building in a river floodplain.,3
18. What has the author used to create this effect,3
25. Decide which course of action was most effective,5
89. when was the first airport in the yemen built,0
61. Justify your choice of data structure.,4
63. Rewrite the principles of test writing.,1
95. How would you investigate this patient,3
59. How did Chinese newspapers differ from US,3
72. Revises and process to improve the outcome.,4
"45. Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",4
2. Correctly label the brain lobes indicated on the diagram below,0
58. Classify celebrations into family and community categories.,1
2. Compare historical events to contemporary situations,1
41. Evaluate whether their model is a true representation of the local environment.,5
20. Name three 19th-century women English authors.,0
44. Explain and justify a new budget.,5
10. Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,2
21. Decide whether you are in favor of building on a floodplain; defend your position in a debate.,5
81. What would result if ...,2
17. Memorize and recall the periodic table,0
59. recall the supply voltage constraints,0
"15. Rewrite the story briefly, but change someone or something in it. (For example, substitute a dog for a wolf in The Three Little Pigs).",4
32. Design a poster for this book.,4
18. How much did he pay for his car,0
"83. Write a C program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen.",4
33. Do you think . . . is a good or a bad thing?,5
16. Choose and illustrate the two most important events in the story.,5
11. Compose a class story.,4
4. Analyze the following questionnaire.,3
42. How would this story be different if it had happened in a different country?,3
"51. Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",5
10. Describe in your own words what is meant by a sprained ankle.,1
46. Investigate innovations that can enhance future Olympics.,3
24. Recall four facts from the story,0
"73. structure, sorts the list in ascending order, displays the list on the screen and stores the list",4
21. Name all the characters in the story.,0
85. Construct a dictionary and a truth table to determine if the following statements are logically equivalent,2
"32. Divide the story into initiating event, rising action, climax, and falling action",3
82. What do you think about . . .?,5
28. Differentiate between .call by value and call by reference.,3
24. Identify fractions from a pictorial representation,0
"22. Create a new song for the opening line of ""Mary had a little lamb"".",4
6. How does the law of supply and demand explain the current increase in the price of fruit?,2
53. How to specify the impact energy and impact test temperature of the material in the Code,2
96. Explain the whole method of crushing,1
16. Describe the major clinical differences between visceral and somatic pain,1
79. What changes to . . . would you recommend?,5
74. Use tableau methods to prove that the following tableau is valid.,2
86. when did the first saudi radio station open,0
2. Can you create new and unusual uses for . . .?,4
78. What does ICT stands for.,0
64. State four attributes of well engineered software.,0
7. Explain how the heart is like a pump.,1
19. Memorize the meaning of ...,0
9. Name the authors of...?,0
15. Compose music for a frog play.,4
4. Appraise data in support of a hypothesis.,5
62. How do we differentiate between genuine buyer and undercover buyer,3
94. Express the following systems in matrix form,1
19. Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.,4
72. State in your own words what the author means when he says,1
45. Explain choices made in making recommendations to an end user.,5
29. Draw a picture of the gown Cinderella wore to the ball.,2
90.  Estimate the epicentral coordinates of the earth-quake,5
2. Analyze the characteristics of frogs.,3
