text,category
9. Write what you might have done.,Application
25. Construct a market strategy for your product using a known strategy as a model.,Application
100. How Do You Think One Should Reason in Making Ethical Decisions in Business,Evaluation
65. Organize this book into three or more sections and give your own subtitle for each section.,Synthesis
"33. If notes are available on the professor's website, how should those notes be used?",Application
44. Relate topographic map to field features,Application
9. Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater.,Application
10. Write an explanation about this topic for others,Application
75. Summarize Jem's beliefs about Boo Radley,Comprehension
31. Design a new animal to live in the jungle.,Synthesis
43. Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons  for why one candidates position is more likely to be effective than the other's.,Evaluation
"97. In your own words, how would you summarize the story up",Comprehension
99. Outline the aim of two studies within the,Comprehension
52. Can you solve the following problem,Application
11. Justify the object oriented programming concept,Evaluation
"88. How effectively did students analyze course content on race, class, and privilege through autobiographical reflection",Analysis
81. Why don't you devise your own way to deal with . . .?,Synthesis
"49. If interest were compounded monthly instead of daily, what would the difference in interest be?",Analysis
26. Contrast building in the coastal zone with building in a river floodplain.,Analysis
18. What has the author used to create this effect,Analysis
25. Decide which course of action was most effective,Evaluation
89. when was the first airport in the yemen built,Knowledge
61. Justify your choice of data structure.,Synthesis
63. Rewrite the principles of test writing.,Comprehension
95. How would you investigate this patient,Analysis
59. How did Chinese newspapers differ from US,Analysis
72. Revises and process to improve the outcome.,Synthesis
"45. Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",Synthesis
2. Correctly label the brain lobes indicated on the diagram below,Knowledge
58. Classify celebrations into family and community categories.,Comprehension
2. Compare historical events to contemporary situations,Comprehension
41. Evaluate whether their model is a true representation of the local environment.,Evaluation
20. Name three 19th-century women English authors.,Knowledge
44. Explain and justify a new budget.,Evaluation
10. Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,Application
21. Decide whether you are in favor of building on a floodplain; defend your position in a debate.,Evaluation
81. What would result if ...,Application
17. Memorize and recall the periodic table,Knowledge
59. recall the supply voltage constraints,Knowledge
"15. Rewrite the story briefly, but change someone or something in it. (For example, substitute a dog for a wolf in The Three Little Pigs).",Synthesis
32. Design a poster for this book.,Synthesis
18. How much did he pay for his car,Knowledge
"83. Write a C program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen.",Synthesis
33. Do you think . . . is a good or a bad thing?,Evaluation
16. Choose and illustrate the two most important events in the story.,Evaluation
11. Compose a class story.,Synthesis
4. Analyze the following questionnaire.,Analysis
42. How would this story be different if it had happened in a different country?,Analysis
"51. Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",Evaluation
10. Describe in your own words what is meant by a sprained ankle.,Comprehension
46. Investigate innovations that can enhance future Olympics.,Analysis
24. Recall four facts from the story,Knowledge
"73. structure, sorts the list in ascending order, displays the list on the screen and stores the list",Synthesis
21. Name all the characters in the story.,Knowledge
